,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,149.94114336967468,23.082350145087602,26.679783153533936,4.9617368692329356,0.1,linear,0.001,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.001}",0.6314350797266515,0.6176157934700076,0.6151860288534549,0.5957479119210326,0.682411907654921,62.84793443252135,0.029269552096747323,19
1,106.43648624420166,26.17737058952882,19.463795566558836,2.633784533792881,0.1,linear,0.01,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.01}",0.631586940015186,0.6182232346241457,0.6153378891419894,0.5955960516324981,0.6822600243013366,62.86008279430311,0.029192949378804903,17
2,123.46119112968445,24.259397514965563,24.04427537918091,2.802511003422658,0.1,rbf,0.001,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.001}",0.5910402429764616,0.5708428246013667,0.555960516324981,0.5662870159453303,0.5953827460510328,57.59026691798345,0.014995811482723772,40
3,121.89743399620056,47.18338328153919,22.84080638885498,2.2683575038409054,0.1,rbf,0.01,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.01}",0.5910402429764616,0.5708428246013667,0.555960516324981,0.5662870159453303,0.5956865127582017,57.59634225212682,0.015075015271036914,39
4,107.3045298576355,10.637445766689423,18.990060567855835,2.6150214422503306,0.1,sigmoid,0.001,"{'C': 0.1, 'kernel': 'sigmoid', 'tol': 0.001}",0.6297646165527715,0.6182232346241457,0.6148823082763857,0.5963553530751708,0.6807411907654921,62.79933406587932,0.028473810807735592,24
5,174.60900526046754,109.80835986325597,30.23316788673401,14.743031041741935,0.1,sigmoid,0.01,"{'C': 0.1, 'kernel': 'sigmoid', 'tol': 0.01}",0.6303720577069096,0.6186788154897495,0.6148823082763857,0.5969627942293091,0.6808930741190765,62.8357809964286,0.02837227613907789,23
6,150.10991740226746,54.9952670514204,20.283677530288696,1.9772348876525818,0.1,poly,0.001,"{'C': 0.1, 'kernel': 'poly', 'tol': 0.001}",0.5424449506454062,0.5394077448747152,0.5391040242976461,0.540470766894457,0.5407047387606319,54.04264450945714,0.001178161563397897,47
7,127.77398452758788,30.293326452291545,26.391279649734496,11.160835099470484,0.1,poly,0.01,"{'C': 0.1, 'kernel': 'poly', 'tol': 0.01}",0.5424449506454062,0.5394077448747152,0.5391040242976461,0.540470766894457,0.5407047387606319,54.04264450945714,0.001178161563397897,47
8,115.41032872200012,16.478664347314872,17.237989091873168,1.8764875824140719,0.5,linear,0.001,"{'C': 0.5, 'kernel': 'linear', 'tol': 0.001}",0.663173880030372,0.6153378891419894,0.6211085801063022,0.6016704631738801,0.7080801944106926,64.18742013726472,0.03895802172495749,6
9,111.8459083557129,22.778601689119306,18.714081001281738,4.791682951875659,0.5,linear,0.01,"{'C': 0.5, 'kernel': 'linear', 'tol': 0.01}",0.6636294608959757,0.615793470007593,0.620501138952164,0.6016704631738801,0.708232077764277,64.1965322158778,0.039063974380666576,5
10,146.2654604434967,24.185893606834277,25.116236400604247,4.390169906700115,0.5,rbf,0.001,"{'C': 0.5, 'kernel': 'rbf', 'tol': 0.001}",0.6472285497342445,0.6078967350037965,0.6010630220197418,0.5738800303720577,0.6979040097205347,62.5594469370075,0.04309544748712856,28
11,123.70713806152344,18.38960838895784,34.61382737159729,26.09271900417609,0.5,rbf,0.01,"{'C': 0.5, 'kernel': 'rbf', 'tol': 0.01}",0.6475322703113136,0.607744874715262,0.6010630220197418,0.5738800303720577,0.6979040097205347,62.56248414277821,0.04313864917413541,27
12,156.04896960258483,71.16536287088117,22.23603892326355,7.697817510979602,0.5,sigmoid,0.001,"{'C': 0.5, 'kernel': 'sigmoid', 'tol': 0.001}",0.6633257403189066,0.6189825360668185,0.6261199696279423,0.6065299924069856,0.7136998784933172,64.57316233827942,0.038900218919517913,1
13,116.44615931510926,17.767525040871536,21.015789699554443,5.253908666775046,0.5,sigmoid,0.01,"{'C': 0.5, 'kernel': 'sigmoid', 'tol': 0.01}",0.662870159453303,0.6192862566438876,0.6242976461655277,0.6056188306757783,0.7133961117861483,64.5093800944929,0.03908449120118654,2
14,150.45492081642152,24.51011051026232,19.992828941345216,3.009247068563519,0.5,poly,0.001,"{'C': 0.5, 'kernel': 'poly', 'tol': 0.001}",0.5641609719058466,0.5299924069855733,0.524677296886864,0.5131359149582384,0.5806500607533415,54.25233302979727,0.025538050972965153,45
15,129.18149790763854,30.682698032763952,24.94067802429199,5.723029505707236,0.5,poly,0.01,"{'C': 0.5, 'kernel': 'poly', 'tol': 0.01}",0.5641609719058466,0.5299924069855733,0.524677296886864,0.5131359149582384,0.5806500607533415,54.25233302979727,0.025538050972965153,45
16,160.00535101890563,18.249968938018625,17.473076343536377,2.147512561818575,1,linear,0.001,"{'C': 1, 'kernel': 'linear', 'tol': 0.001}",0.6671222475322703,0.6147304479878511,0.6167046317388003,0.5955960516324981,0.7064094775212637,64.01125712825367,0.04073992323587294,9
17,143.66124687194824,34.87683960782161,17.2255380153656,2.603093801000524,1,linear,0.01,"{'C': 1, 'kernel': 'linear', 'tol': 0.01}",0.6671222475322703,0.6153378891419894,0.6174639331814731,0.5949886104783599,0.7053462940461726,64.0051794876053,0.04036795820825073,10
18,194.21724638938903,23.114381739436634,24.371517419815063,2.064103426412758,1,rbf,0.001,"{'C': 1, 'kernel': 'rbf', 'tol': 0.001}",0.6510250569476081,0.6006074411541382,0.5962034927866363,0.5621867881548975,0.6924362089914945,62.049179760695495,0.045810613978036444,32
19,160.18080015182494,21.621985953012544,20.40359330177307,3.8868594069766123,1,rbf,0.01,"{'C': 1, 'kernel': 'rbf', 'tol': 0.01}",0.6513287775246773,0.6007593014426728,0.5962034927866363,0.5623386484434321,0.6924362089914945,62.06132858377826,0.045799401254854405,31
20,101.65652499198913,17.281487537366477,12.216933631896973,1.5836621884317268,1,sigmoid,0.001,"{'C': 1, 'kernel': 'sigmoid', 'tol': 0.001}",0.6637813211845103,0.6153378891419894,0.6239939255884586,0.6009111617312073,0.7109659781287971,64.29980551549926,0.039872624751175596,4
21,93.54687561988831,9.727992439089645,12.017052698135377,1.4189030772423286,1,sigmoid,0.01,"{'C': 1, 'kernel': 'sigmoid', 'tol': 0.01}",0.6639331814730448,0.6151860288534549,0.6232346241457859,0.6025816249050873,0.7109659781287971,64.31802875012342,0.039636704884700766,3
22,152.03102102279664,10.040450494580904,14.372621059417725,1.801156946356458,1,poly,0.001,"{'C': 1, 'kernel': 'poly', 'tol': 0.001}",0.6249050873196659,0.5450265755504935,0.494457099468489,0.4780561883067578,0.6489975698663426,55.82885041023498,0.06834245420775549,43
23,138.31799206733703,7.406416221441581,14.294686794281006,1.7942034466699024,1,poly,0.01,"{'C': 1, 'kernel': 'poly', 'tol': 0.01}",0.6250569476082004,0.544874715261959,0.49430523917995445,0.47790432801822325,0.6489975698663426,55.82277599869359,0.06844201180070679,44
24,157.74733815193176,18.70521581423822,11.862307214736939,1.4718833115238898,2,linear,0.001,"{'C': 2, 'kernel': 'linear', 'tol': 0.001}",0.670918754745634,0.6156416097190585,0.6098709187547456,0.585876993166287,0.6998784933171325,63.643735394057146,0.04220979437218495,12
25,150.24531636238098,16.89718571642026,11.780798387527465,1.3803614027039801,2,linear,0.01,"{'C': 2, 'kernel': 'linear', 'tol': 0.01}",0.6710706150341685,0.6160971905846621,0.6092634776006074,0.5861807137433561,0.7000303766707169,63.65284747267022,0.042240656916158,11
26,199.46219763755798,23.948986828331485,16.308001947402953,1.7109001806286923,2,rbf,0.001,"{'C': 2, 'kernel': 'rbf', 'tol': 0.001}",0.6608959757023538,0.6028853454821564,0.5907365223993926,0.5500379650721336,0.6921324422843257,61.93376501880724,0.05082779824855032,34
27,174.02794847488403,24.77068513263025,15.900084590911865,1.850197980783805,2,rbf,0.01,"{'C': 2, 'kernel': 'rbf', 'tol': 0.01}",0.6607441154138193,0.603037205770691,0.5907365223993926,0.5501898253606682,0.6921324422843257,61.93680222457794,0.05075179441924826,33
28,205.11534962654113,43.38262754413042,11.143650436401368,1.5309923791341107,2,sigmoid,0.001,"{'C': 2, 'kernel': 'sigmoid', 'tol': 0.001}",0.6616552771450266,0.6164009111617312,0.622171602126044,0.6036446469248291,0.7042831105710814,64.16311095857425,0.036835980243471726,7
29,131.17249007225035,23.449469795129108,11.171817827224732,1.2344816104297744,2,sigmoid,0.01,"{'C': 2, 'kernel': 'sigmoid', 'tol': 0.01}",0.6621108580106302,0.6154897494305239,0.6217160212604403,0.6015186028853455,0.7033718104495748,64.0841408407303,0.03719465215997211,8
30,195.4479999065399,17.490705217988467,14.291829490661621,1.8476990054407738,2,poly,0.001,"{'C': 2, 'kernel': 'poly', 'tol': 0.001}",0.622171602126044,0.5597570235383448,0.5278663629460896,0.49521640091116176,0.6646415552855407,57.393058896143614,0.061764716526849284,41
31,164.61615252494812,17.57730625497152,14.263864040374756,1.7627831505802543,2,poly,0.01,"{'C': 2, 'kernel': 'poly', 'tol': 0.01}",0.622171602126044,0.5597570235383448,0.527714502657555,0.49506454062262717,0.6646415552855407,57.386984484602245,0.061826089127475475,42
32,264.49349055290224,43.84455755275567,11.78573923110962,1.6252190179326753,5,linear,0.001,"{'C': 5, 'kernel': 'linear', 'tol': 0.001}",0.6677296886864085,0.6176157934700076,0.6071374335611238,0.581169324221716,0.692588092345079,63.32480664568669,0.04086208375925473,13
33,231.394145154953,30.76132232469541,11.368897247314454,1.1489952897439135,5,linear,0.01,"{'C': 5, 'kernel': 'linear', 'tol': 0.01}",0.6671222475322703,0.6171602126044039,0.6074411541381929,0.5808656036446469,0.6924362089914945,63.30050853822018,0.04079004617916222,14
34,270.2521981716156,26.523449791315098,15.997808599472046,1.5464760073922772,5,rbf,0.001,"{'C': 5, 'kernel': 'rbf', 'tol': 0.001}",0.6648443432042521,0.6156416097190585,0.5996962794229309,0.5514047076689446,0.6954738760631834,62.5412163215674,0.050393281887870164,30
35,213.63028082847595,21.468714697018626,16.315622806549072,2.3131071573743953,5,rbf,0.01,"{'C': 5, 'kernel': 'rbf', 'tol': 0.01}",0.6646924829157176,0.615793470007593,0.5998481397114654,0.5514047076689446,0.695625759416768,62.54729119440976,0.05039050741646472,29
36,417.00095958709716,112.3987466116502,9.88040370941162,1.0745967444110582,5,sigmoid,0.001,"{'C': 5, 'kernel': 'sigmoid', 'tol': 0.001}",0.6540622627182991,0.6089597570235383,0.6071374335611238,0.5860288534548216,0.7032199270959902,63.188164677075456,0.04200308973253098,16
37,274.8127025604248,46.40212826544994,10.008944845199585,0.9306477530278782,5,sigmoid,0.01,"{'C': 5, 'kernel': 'sigmoid', 'tol': 0.01}",0.6543659832953682,0.609415337889142,0.6097190584662111,0.5867881548974943,0.7006379100850547,63.21852889266542,0.04064934564183723,15
38,250.4705599784851,31.876022595645047,14.141945409774781,1.8211602526675734,5,poly,0.001,"{'C': 5, 'kernel': 'poly', 'tol': 0.001}",0.6282460136674259,0.5626423690205011,0.5380410022779043,0.49870918754745636,0.6696537059538274,57.9458455693423,0.061699334691924825,38
39,196.03378973007202,19.361416032795756,14.274911451339722,2.215750886502134,5,poly,0.01,"{'C': 5, 'kernel': 'poly', 'tol': 0.01}",0.6282460136674259,0.5626423690205011,0.5378891419893698,0.4990129081245254,0.6698055893074119,57.95192044218468,0.06168482252510352,37
40,405.1180452823639,81.56361706632158,10.46090407371521,1.2248398541424315,10,linear,0.001,"{'C': 10, 'kernel': 'linear', 'tol': 0.001}",0.6566438876233864,0.6123006833712984,0.607744874715262,0.5763097949886105,0.689854191980559,62.857068653582324,0.039933446846387624,18
41,321.45671186447146,49.8293807013077,10.567472124099732,1.2756430755791401,10,linear,0.01,"{'C': 10, 'kernel': 'linear', 'tol': 0.01}",0.6566438876233864,0.6115413819286256,0.6075930144267274,0.5766135155656795,0.689854191980559,62.844919830499556,0.03993321028840223,21
42,290.82377076148987,38.75461547388302,15.480777549743653,1.5245706794025542,10,rbf,0.001,"{'C': 10, 'kernel': 'rbf', 'tol': 0.001}",0.6675778283978739,0.6191343963553531,0.6062262718299165,0.5548974943052392,0.6944106925880923,62.84493366952949,0.04872872988013163,20
43,223.8829512119293,27.160534282763695,15.65166277885437,1.7848771618180808,10,rbf,0.01,"{'C': 10, 'kernel': 'rbf', 'tol': 0.01}",0.6671222475322703,0.6189825360668185,0.606074411541382,0.5553530751708429,0.6944106925880923,62.83885925798811,0.04853822636482869,22
44,518.1236782073975,143.7507453818459,8.565900468826294,1.0619071537326796,10,sigmoid,0.001,"{'C': 10, 'kernel': 'sigmoid', 'tol': 0.001}",0.6416097190584662,0.6021260440394837,0.6028853454821564,0.5867881548974943,0.7021567436208992,62.711320141969985,0.0416632659882692,25
45,377.2741087913513,63.55000574392972,8.675997591018676,0.9444750784107087,10,sigmoid,0.01,"{'C': 10, 'kernel': 'sigmoid', 'tol': 0.01}",0.6388762338648444,0.5966590736522399,0.6039483675018983,0.587547456340167,0.7021567436208992,62.58375749960098,0.041931557702425765,26
46,258.27240738868716,33.65794928457271,13.710419178009033,1.7907668753670183,10,poly,0.001,"{'C': 10, 'kernel': 'poly', 'tol': 0.001}",0.6306757782839787,0.5630979498861047,0.537129840546697,0.4982536066818527,0.6714763061968408,58.01266963190949,0.06283609079255055,36
47,186.18863520622253,21.541351216313952,13.760855102539063,1.7558064816429821,10,poly,0.01,"{'C': 10, 'kernel': 'poly', 'tol': 0.01}",0.6306757782839787,0.5629460895975702,0.5372817008352316,0.49840546697038723,0.6716281895504252,58.018744504751865,0.06282824318825372,35
